Department /Ministry,Fund allotted(in crores)
MINISTRY OF AGRICULTURE,132513.62
DEPARTMENT OF ATOMIC ENERGY,22723.58
Ministry of Ayush,3050
Department of Chemicals and Petrochemicals  ,209
Department of Fertilisers,105262.23
Department of Pharmaceuticals,2244.15
Ministry of Civil Aviation,10667
Ministry of Coal,393.24
Department of Commerce,6073
Department for Promotion of Industry and Internal Trade,8348
Department of Posts,20820.02
Department of Telecommunications,84586.8
Department of Consumer Affairs,1724.88
Department of Food and Public Distribution,215959.58
Ministry of Cooperation,900
Ministry of Corporate Affairs,733.02
Ministry of Culture,3009.05
Ministry of Defence ,525166.15
Ministry of Development of North Eastern Region,2800
Ministry of Earth Sciences,2653.51
MINISTRY OF EDUCATION,104277.72
Ministry of Electronics and Information Technology,14300
"Ministry of Environment, Forests and Climate Change",3030
Ministry of External Affairs,17250
"MINISTRY OF FISHERIES, ANIMAL HUSBANDRY",6037.31
Ministry of Food Processing Industries,2941.99
MINISTRY OF HEALTH AND FAMILY WELFARE,86200.65
Ministry of Heavy Industries,3306
Ministry of Home Affairs,7621
Ministry of Housing and Urban Affairs,76549.46
Ministry of Information and Broadcasting,3980.77
MINISTRY OF JAL SHAKTI,86189
Ministry of Labour and Employment,16893.68
MINISTRY OF LAW AND JUSTICE,3393.48
"Ministry of Micro, Small and Medium Enterprises",21422
Ministry of Mines,1508
Ministry of Minority Affairs,5020.5
Ministry of New and Renewable Energy,6900.68
Ministry of Panchayati Raj,868.57
Ministry of Parliamentary Affairs,66.4
"Ministry of Personnel, Public Grievances and Pensions",2337.18
Ministry of Petroleum and Natural Gas,8939.86
Ministry of Planning,321.42
"Ministry of Ports, Shipping and Waterways",1709.5
Ministry of Power,16074.74
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION",1649.63
Ministry of Railways,140367.13
Ministry of Road Transport and Highways,199107.71
Department of Rural Development,135944.29
Department of Land Resources,2259.34
MINISTRY OF SCIENCE AND TECHNOLOGY,14217.46
Ministry of Skill Development and Entrepreneurship,2999
Department of Social Justice and Empowerment,13134.93
Department of Space,13700
Ministry of Statistics and Programme Implementation,5398.08
Ministry of Steel,47
Ministry of Textiles,12382.14
Ministry of Tribal Affairs,8451.92
Ministry of Women and Child Development,25172.28
Ministry of Youth Affairs and Sports,3062.6
Central Vigilance Commission,41.96
Supreme Court of India,401.46
Election Commission,260
Transfers to Puducherry,1729.79
Cabinet,1711.04
Police,117687.99
Andaman and Nicobar Islands,5703.65
Chandigarh,4846.79
Dadra and Nagar Haveli and Daman and Diu,2374.1
Ladakh,5958
Lakshadweep,1394.75
Transfers to Delhi,1168
Transfers to Jammu and Kashmir,35581.44
Department of Economic Affairs,14540.26
Department of Expenditure,476.89
Department of Financial Services,5313.73
Department of Public Enterprises,30
Department of Investment and Public Asset Management,290.42
Department of Revenue,121231.29
Direct Taxes,9306.8
Indirect Taxes,41138.67
Indian Audit and Accounts Department,5620.14
Interest Payments,940651.02
Pensions,65840.81
Transfers to States,334339.42
Grand Total,3942508.67
